,Baden-Württemb.Bank/Landesbank Baden-Württemb.,SOLADEST864,,,60050101,,
,Baden-Württemb.Bank/Landesbank Baden-Württemb.,SOLADEST454,,,60050101,,
,Baden-Württemb.Bank/Landesbank Baden-Württemb.,SOLADEST896,,,60050101,,
,Baden-Württemb.Bank/Landesbank Baden-Württemb.,SOLADEST836,,,60050101,,
,Baden-Württemb.Bank/Landesbank Baden-Württemb.,SOLADEST484,,,60050101,,
,Baden-Württemb.Bank/Landesbank Baden-Württemb.,SOLADEST487,,,60050101,,
,Baden-Württemb.Bank/Landesbank Baden-Württemb.,SOLADEST428,,,60050101,,
,Baden-Württembergische Bank,SOLADEST601,,,60020030,,
,Baden-Württembergische Bank,SOLADEST663,,,66020020,,
,Baden-Württembergische Bank/Landesbank Baden-Württemberg,,,,60050101,,
,BAG Bankaktiengesellschaft,GENODEM1BAG,,,41061903,,
,Banco do Brasil,BRASDEFFXXX,,,51220800,,
,Banco Santander Filiale Frankfurt,BSCHDEFFXXX,,,50320500,,
,Bank 1 Saar,SABADE5SXXX,,,59190000,,
,Bank für Kirche und Caritas,GENODEM1BKC,,,47260307,,
,Bank für Kirche und Diakonie - KD-Bank,GENODED1DKD,,,35060190,,
,Bank für Kirche und Diakonie - KD-Bank (Gf GAA RB),GENODED1DKD,,,35060199,,
,Bank für Kirche und Diakonie - KD-Bank (Gf P2),,,,35060190,,
,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,GENODED1KDB,,,10061006,,
,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,GENODED1KDD,,,44064406,,
,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,GENODED1KDM,,,81068106,,
,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,GENODEF1BSB,,,10090300,,
,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,GENODEF1BFS,,,25090300,,
,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,GENODEF1BSD,,,35090300,,
,Bank für Sozialwirtschaft,BFSWDE33BER,,,10020500,,
,Bank für Sozialwirtschaft,BFSWDE33BER,,,10020510,,
,Bank für Sozialwirtschaft,BFSWDE33BER,,,10020520,,
,Bank für Sozialwirtschaft,BFSWDE33HAN,,,20120520,,
,Bank für Sozialwirtschaft,BFSWDE33HAN,,,25120510,,
,Bank für Sozialwirtschaft,BFSWDE33XXX,,,37020500,,
,Bank für Sozialwirtschaft,BFSWDE33MNZ,,,55020500,,
,Bank für Sozialwirtschaft,BFSWDE33MNZ,,,55020555,,
,Bank für Sozialwirtschaft,BFSWDE33STG,,,60120500,,
,Bank für Sozialwirtschaft,BFSWDE33KRL,,,66020500,,
,Bank für Sozialwirtschaft,BFSWDE33KRL,,,66020566,,
,Bank für Sozialwirtschaft,BFSWDE33MUE,,,70020500,,
,Bank für Sozialwirtschaft,BFSWDE33MUE,,,70020570,,
,Bank für Sozialwirtschaft,BFSWDE33MAG,,,81020500,,
,Bank für Sozialwirtschaft,BFSWDE33DRE,,,85020500,,
,Bank für Sozialwirtschaft,BFSWDE33LPZ,,,86020500,,
,Bank für Tirol und Vorarlberg Deutschland,BTVADE61XXX,,,72012300,,
,Bank im Bistum Essen,GENODED1BBE,,,36060295,,
,Bank Julius Bär Deutschland,BAERDEF1XXX,,,51420300,,
,Bank Melli Iran,MELIDEHHXXX,,,20210200,,
,Bank of America,BOFADEFXXXX,,,50010900,,
,Bank of America Filiale Frankfurt,BOFADEFXVAM,,,50010910,,
,Bank of America Merrill Lynch International Zndl Frankfurt,MELBDEF1XXX,,,51410600,,
,Bank of America N.A. Military Bank,MNBIDEF1XXX,,,50110900,,
,Bank of China,BKCHDEFFXXX,,,51410700,,
,Bank of China Fil Hamburg,BKCHDEFFHMB,,,20110800,,
,Bank of Communications Frankfurt branch,COMMDEFFXXX,,,50120600,,
,Bank Saderat Iran,SIHRDEH1HAM,,,20210300,,
,Bank Saderat Iran,SIHRDEH1FFM,,,51220400,,
,Bank Sepah-Iran,SEPBDEFFXXX,,,50330600,,
,Bank Vontobel Europe,VONTDEM1XXX,,,70011200,,
,Bank11 für Privatkunden und Handel Neuss,WEFZDED1XXX,,,30530500,,
,Bank11direkt,CUABDED1XXX,,,30030500,,
,Bankhaus Anton Hafner,ANHODE77XXX,,,72030227,,
,Bankhaus Anton Hafner (Gf PayCenter),ANHODE77PAY,,,72030260,,
,Bankhaus August Lenz & Co,LENZDEM1XXX,,,70130700,,
,Bankhaus August Lenz & Co Gf GAA,LENZDEM1XXX,,,70130799,,
,Bankhaus Bauer Stuttgart,BHBADES1XXX,,,60030100,,
,Bankhaus C. L. Seeliger,BCLSDE21XXX,,,27032500,,
,Bankhaus E. Mayer,BKMADE61XXX,,,68030000,,
,Bankhaus Ellwanger & Geiger,ELGEDES1XXX,,,60030200,,
,Bankhaus Gebr. Martin,MARBDE6GXXX,,,61030000,,
,Bankhaus Herzogpark,HERZDEM1XXX,,,70013500,,
,Bankhaus J. Faißt,FAITDE66XXX,,,66432700,,
,Bankhaus Lampe,LAMPDEDDXXX,,,48020151,,
,Bankhaus Ludwig Sperrer,BHLSDEM1XXX,,,70031000,,
,Bankhaus Max Flessa,FLESDEMMXXX,,,79330111,,
,Bankhaus Neelmeyer,NEELDE22XXX,,,29020000,,
,Bankhaus Obotritia,FLGMDE77XXX,,,70012400,,
,Bankhaus Rautenschlein,GENODEF1RTS,,,27131300,,
,Bankhaus von der Heydt,BVDHDEMMXXX,,,70011700,,
,Bankhaus Werhahn,WERHDED1XXX,,,30530000,,
,Banking Circle - German Branch,SXPYDEHHXXX,,,20220800,,
,Bankverein Werther Zw Ndl der VerbundVolksbank OWL,DGPBDE3MBVW,,,48021900,,
,BANQUE CHAABI DU MAROC Agentur Frankfurt Ndl. Deutschland,BCDMDEF1XXX,,,50330500,,
